Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01371","Almonds, in shell","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21422","Almonds, shelled","2021","2021","1000 US$","6","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21529.03","Animal oils and fats n.e.c.","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2021","2021","1000 US$","12","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","1000 US$","18","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21435.01","Apple juice","2021","2021","1000 US$","399","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01341","Apples","2021","2021","1000 US$","935","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21419.01","Apricots, dried","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01379.01","Areca nuts","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2021","2021","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01312","Bananas","2021","2021","1000 US$","4","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","0115","Barley","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01701","Beans, dry","2021","2021","1000 US$","1372","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F0875","beef and veal preparations nes","2021","2021","1000 US$","461","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","24310.01","Beer of barley, malted","2021","2021","1000 US$","4217","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","02960.01","Beeswax","2021","2021","1000 US$","6","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","39149.01","Beet pulp","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","39120.13","Bran of cereals n.e.c.","2021","2021","1000 US$","1407","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","39120.04","Bran of maize","2021","2021","1000 US$","62","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","39120.01","Bran of wheat","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01377","Brazil nuts, in shell","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21429.01","Brazil nuts, shelled","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F0020","Bread","2021","2021","1000 US$","62","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23140.03","Breakfast cereals","2021","2021","1000 US$","523","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01702","Broad beans and horse beans, dry","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","22241.01","Butter of cow milk","2021","2021","1000 US$","107","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","22230.03","Buttermilk, curdled and acidified milk","2021","2021","1000 US$","21","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01212","Cabbages","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21910.03","Cake of  soya beans","2021","2021","1000 US$","7202","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21910.15","Cake of cottonseed","2021","2021","1000 US$","781","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21910.06","Cake of palm kernel","2021","2021","1000 US$","48","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21910.07","Cake of sunflower seed","2021","2021","1000 US$","1272","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21910.90","Cake, oilseeds nes","2021","2021","1000 US$","39","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23511.02","Cane sugar, non-centrifugal","2021","2021","1000 US$","5","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21397.01","Canned mushrooms","2021","2021","1000 US$","46","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01372","Cashew nuts, in shell","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21424","Cashew nuts, shelled","2021","2021","1000 US$","71","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01520.02","Cassava, dry","2021","2021","1000 US$","12106","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23140.08","Cereal preparations","2021","2021","1000 US$","11","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01199.90","Cereals n.e.c.","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","22251.01","Cheese from whole cow milk","2021","2021","1000 US$","188","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01373","Chestnuts, in shell","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01703","Chick peas, dry","2021","2021","1000 US$","17","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","02151","Chickens","2021","2021","1000 US$","704","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","2021","1000 US$","30","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F0666","Chocolate products nes","2021","2021","1000 US$","1008","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","24230.03","Cider and other fermented beverages","2021","2021","1000 US$","389","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","25020.01","Cigarettes","2021","2021","1000 US$","3400","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","25020.02","Cigars and cheroots","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01655","Cinnamon and cinnamon-tree flowers, raw","2021","2021","1000 US$","26","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01656","Cloves (whole stems), raw","2021","2021","1000 US$","4","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01640","Cocoa beans","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23620","Cocoa butter, fat and oil","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F0665","Cocoa powder and cake","2021","2021","1000 US$","48","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","2166","Coconut oil","2021","2021","1000 US$","62","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21429.07","Coconuts, desiccated","2021","2021","1000 US$","5","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01460","Coconuts, in shell","2021","2021","1000 US$","14","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23912.02","Coffee extracts","2021","2021","1000 US$","223","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23912.01","Coffee substitutes","2021","2021","1000 US$","272","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23911","Coffee, decaffeinated or roasted","2021","2021","1000 US$","22","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01610","Coffee, green","2021","2021","1000 US$","636","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23490.01","Communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.","2021","2021","1000 US$","52","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01921.02","Cotton lint, ginned","2021","2021","1000 US$","163","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","0143","Cotton seed","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F0769","Cotton waste","2021","2021","1000 US$","12","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","26160","Cotton, carded or combed","2021","2021","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","2168","Cottonseed oil","2021","2021","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01706","Cow peas, dry","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F1293","Crude organic material n.e.c.","2021","2021","1000 US$","1936","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","22290","Dairy products n.e.c.","2021","2021","1000 US$","8","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01314","Dates","2021","2021","1000 US$","17","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23311","Dog or cat food, put up for retail sale","2021","2021","1000 US$","430","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21393.01","Dried mushrooms","2021","2021","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21160.02","Edible offals and liver of geese, fresh, chilled or frozen","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2021","2021","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","0232","Eggs from other birds in shell, fresh, n.e.c.","2021","2021","1000 US$","171","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23993.02","Eggs, liquid","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","35410.90","Essential oils n.e.c.","2021","2021","1000 US$","240","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23914","Extracts, essences and concentrates of tea or mate, and preparations with a basis thereof or with a basis of tea or maté","2021","2021","1000 US$","69","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21511.01","Fat of pigs","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21511.03","Fat of poultry","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F1243","Fat preparations n.e.c.","2021","2021","1000 US$","878","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01315","Figs","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23120.90","Flour of cereals n.e.c.","2021","2021","1000 US$","48","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23170.04","Flour of fruits","2021","2021","1000 US$","5","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23120.03","Flour of maize","2021","2021","1000 US$","196","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23995.03","Flour of mustard seed","2021","2021","1000 US$","52","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23170.03","Flour of pulses","2021","2021","1000 US$","4","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23170.02","Flour of roots and tubers n.e.c.","2021","2021","1000 US$","57","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21392","Flour, meal, powder, flakes, granules and pellets of potatoes","2021","2021","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21920","Flours and meals of oil seeds or oleaginous fruits, except those of mustard","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F1232","Food preparations n.e.c.","2021","2021","1000 US$","40865","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23999.02","Food preparations of flour, meal or malt extract","2021","2021","1000 US$","555","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","39170.01","Food wastes","2021","2021","1000 US$","5036","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F0623","Fruit prepared n.e.c.","2021","2021","1000 US$","490","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23670.02","Fruit, nuts, peel, sugar preserved","2021","2021","1000 US$","22","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23140.01","Germ of wheat","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","22241.02","Ghee from cow milk","2021","2021","1000 US$","5","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01657","Ginger, raw","2021","2021","1000 US$","3860","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23210.05","Glucose and dextrose","2021","2021","1000 US$","20","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21434","Grape juice","2021","2021","1000 US$","38","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21432.01","Grapefruit juice, concentrated","2021","2021","1000 US$","7","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01330","Grapes","2021","2021","1000 US$","39","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01252","Green garlic","2021","2021","1000 US$","134","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","2162","Groundnut oil","2021","2021","1000 US$","6","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","0142","Groundnuts, excluding shelled","2021","2021","1000 US$","6960","E","Estimated value"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21421","Groundnuts, shelled","2021","2021","1000 US$","13196","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","26150.01","Hair, carded/combed","2021","2021","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01374","Hazelnuts, in shell","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21423","Hazelnuts, shelled","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","0231","Hen eggs in shell, fresh","2021","2021","1000 US$","786","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","02951.05","Hides, cattle, dry salted","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","02951.04","Hides, wet-salted of cattle","2021","2021","1000 US$","7","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23991.03","Homogenized cooked fruit, prepared","2021","2021","1000 US$","4","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23991.04","Homogenized meat preparations","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23991.02","Homogenized vegetable preparations","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01659","Hop cones","2021","2021","1000 US$","109","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","02131","Horses","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23162","Husked rice","2021","2021","1000 US$","6","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F1275","hydrogenated oils and fats","2021","2021","1000 US$","19645","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","17400","Ice and snow","2021","2021","1000 US$","27","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","22270","Ice cream and other edible ice","2021","2021","1000 US$","168","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","34120","Industrial monocarboxylic fatty acids; acid oils from refining","2021","2021","1000 US$","640","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23991.01","Infant food","2021","2021","1000 US$","2114","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21439.04","Juice of citrus fruit n.e.c.","2021","2021","1000 US$","4","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21439.90","Juice of fruits n.e.c.","2021","2021","1000 US$","3230","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21433.01","Juice of pineapples, concentrated","2021","2021","1000 US$","8","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01352","Kiwi fruit","2021","2021","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23210.06","Lactose","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01322","Lemons and limes","2021","2021","1000 US$","389","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01704","Lentils, dry","2021","2021","1000 US$","17","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01441","Linseed","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21189.01","Liver preparations","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","0112","Maize (corn)","2021","2021","1000 US$","18331","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","24320","Malt, whether or not roasted","2021","2021","1000 US$","17514","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21700.02","Margarine and shortening","2021","2021","1000 US$","2315","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21190.01","Meat meal","2021","2021","1000 US$","122","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21111.02","Meat of cattle boneless, fresh or chilled","2021","2021","1000 US$","21","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","1000 US$","42","A","Official figure"
